name,shape,num_params,mean,std,min,max
down1.net.0.weight,"[16, 1, 3, 3]",144,-0.02680995687842369,0.22371387481689453,-0.47484999895095825,0.5400722026824951
down1.net.1.weight,[16],16,0.8803431391716003,0.22154659032821655,0.6065583825111389,1.2620680332183838
down1.net.1.bias,[16],16,-0.06794218719005585,0.18879765272140503,-0.33490118384361267,0.24215802550315857
down1.net.1.running_mean,[16],16,-0.03932858258485794,0.10053317248821259,-0.2564358115196228,0.1481648087501526
down1.net.1.running_var,[16],16,0.012127356603741646,0.01909145526587963,0.0002777351182885468,0.06142471358180046
down1.net.1.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
down1.net.3.weight,"[16, 16, 3, 3]",2304,-0.025344841182231903,0.11064790189266205,-0.572277843952179,0.3892958164215088
down1.net.4.weight,[16],16,0.9781728982925415,0.14619982242584229,0.733928918838501,1.2368762493133545
down1.net.4.bias,[16],16,-0.09138727933168411,0.09630817174911499,-0.2823239266872406,0.023897364735603333
down1.net.4.running_mean,[16],16,-1.0883830785751343,1.3305515050888062,-3.8480465412139893,1.3379974365234375
down1.net.4.running_var,[16],16,5.593723773956299,6.744056224822998,0.7282055616378784,25.231801986694336
down1.net.4.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
down2.net.0.weight,"[32, 16, 3, 3]",4608,-0.013070952147245407,0.10703051835298538,-0.454891175031662,0.37704384326934814
down2.net.1.weight,[32],32,0.9187288880348206,0.14938515424728394,0.6188457012176514,1.2305599451065063
down2.net.1.bias,[32],32,-0.2068280130624771,0.0940575897693634,-0.4240703284740448,-0.03847729414701462
down2.net.1.running_mean,[32],32,-0.9101958274841309,0.9947196245193481,-2.4230635166168213,1.2376800775527954
down2.net.1.running_var,[32],32,2.3629510402679443,1.6579402685165405,0.7888376116752625,8.644944190979004
down2.net.1.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
down2.net.3.weight,"[32, 32, 3, 3]",9216,-0.014488337561488152,0.0978764072060585,-0.3878418207168579,0.4571341872215271
down2.net.4.weight,[32],32,0.9764547944068909,0.12098526209592819,0.7030913233757019,1.1771382093429565
down2.net.4.bias,[32],32,-0.233555406332016,0.08723142743110657,-0.3802400231361389,-0.05852556601166725
down2.net.4.running_mean,[32],32,-0.9627220034599304,0.9108304381370544,-3.440755605697632,0.5122743248939514
down2.net.4.running_var,[32],32,3.0412538051605225,2.2278075218200684,1.2309118509292603,11.606450080871582
down2.net.4.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
down3.net.0.weight,"[64, 32, 3, 3]",18432,-0.009007308632135391,0.09744890034198761,-0.41197532415390015,0.40093740820884705
down3.net.1.weight,[64],64,0.9465059638023376,0.12180192768573761,0.5534331202507019,1.1886409521102905
down3.net.1.bias,[64],64,-0.21711494028568268,0.10079383850097656,-0.44421350955963135,0.14447464048862457
down3.net.1.running_mean,[64],64,-1.1459872722625732,1.7646660804748535,-6.468622207641602,2.030916690826416
down3.net.1.running_var,[64],64,7.6836700439453125,4.8121018409729,2.568185567855835,25.41986656188965
down3.net.1.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
down3.net.3.weight,"[64, 64, 3, 3]",36864,-0.011823710054159164,0.09354356676340103,-0.41882985830307007,0.4851548969745636
down3.net.4.weight,[64],64,0.9996126890182495,0.13115836679935455,0.7768059372901917,1.255066990852356
down3.net.4.bias,[64],64,-0.17032486200332642,0.08282364904880524,-0.3373015522956848,-0.0190318301320076
down3.net.4.running_mean,[64],64,-2.01780366897583,2.2721686363220215,-6.881107330322266,4.712280750274658
down3.net.4.running_var,[64],64,12.494500160217285,7.165858268737793,4.986383438110352,37.21622848510742
down3.net.4.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
down4.net.0.weight,"[128, 64, 3, 3]",73728,-0.01082697231322527,0.0938076600432396,-0.4116639196872711,0.4321490526199341
down4.net.1.weight,[128],128,0.9739183783531189,0.1081279069185257,0.720350444316864,1.2129658460617065
down4.net.1.bias,[128],128,-0.1466158628463745,0.09939315170049667,-0.4254625141620636,0.10376181453466415
down4.net.1.running_mean,[128],128,-3.0678303241729736,4.70280122756958,-12.442550659179688,7.492294788360596
down4.net.1.running_var,[128],128,48.91777801513672,19.55845069885254,21.41015625,106.95409393310547
down4.net.1.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
down4.net.3.weight,"[128, 128, 3, 3]",147456,-0.023164695128798485,0.09240049868822098,-0.46653857827186584,0.4519892930984497
down4.net.4.weight,[128],128,0.9553556442260742,0.13973316550254822,0.6820881366729736,1.3746352195739746
down4.net.4.bias,[128],128,-0.04529697075486183,0.125626802444458,-0.37504705786705017,0.2337816059589386
down4.net.4.running_mean,[128],128,-7.702530384063721,7.596282005310059,-18.4971866607666,10.050684928894043
down4.net.4.running_var,[128],128,92.40104675292969,24.848119735717773,37.04330062866211,160.62583923339844
down4.net.4.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
bottleneck.net.0.weight,"[256, 128, 3, 3]",294912,-0.01142532005906105,0.08980422466993332,-0.4335005283355713,0.5343560576438904
bottleneck.net.1.weight,[256],256,0.9689898490905762,0.11531515419483185,0.7253168821334839,1.4282605648040771
bottleneck.net.1.bias,[256],256,-0.17690786719322205,0.08347827941179276,-0.36106106638908386,0.03401157259941101
bottleneck.net.1.running_mean,[256],256,-7.993223190307617,9.11883544921875,-30.353334426879883,16.55241584777832
bottleneck.net.1.running_var,[256],256,137.52854919433594,33.502044677734375,66.56326293945312,230.5891571044922
bottleneck.net.1.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
bottleneck.net.3.weight,"[256, 256, 3, 3]",589824,-0.005253512412309647,0.0932203158736229,-0.43836161494255066,0.5731269717216492
bottleneck.net.4.weight,[256],256,0.9164374470710754,0.11269235610961914,0.5875969529151917,1.173923134803772
bottleneck.net.4.bias,[256],256,-0.13513000309467316,0.08240640163421631,-0.37445682287216187,0.05979672819375992
bottleneck.net.4.running_mean,[256],256,-3.07598614692688,5.407018661499023,-19.10670280456543,12.449348449707031
bottleneck.net.4.running_var,[256],256,246.09776306152344,59.0089225769043,118.90904235839844,392.9767761230469
bottleneck.net.4.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
up4.weight,"[256, 128, 2, 2]",131072,0.0011707778321579099,0.08518283069133759,-0.45156949758529663,0.49104559421539307
up4.bias,[128],128,-0.0023274340201169252,0.06515398621559143,-0.16354502737522125,0.18002447485923767
conv4.net.0.weight,"[128, 256, 3, 3]",294912,-0.0016344065079465508,0.0898219496011734,-0.7229322791099548,0.46373048424720764
conv4.net.1.weight,[128],128,0.9797806143760681,0.10716164112091064,0.6044475436210632,1.1440900564193726
conv4.net.1.bias,[128],128,-0.10608898103237152,0.11125397682189941,-0.42926254868507385,0.06220773607492447
conv4.net.1.running_mean,[128],128,1.367542028427124,12.452129364013672,-21.483007431030273,24.819042205810547
conv4.net.1.running_var,[128],128,54921.921875,43535.17578125,4087.23583984375,164464.015625
conv4.net.1.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
conv4.net.3.weight,"[128, 128, 3, 3]",147456,-0.04736151918768883,0.07837314903736115,-0.4102964401245117,0.3654082715511322
conv4.net.4.weight,[128],128,0.7406768798828125,0.11137501895427704,0.543197512626648,1.0632579326629639
conv4.net.4.bias,[128],128,-0.1578090637922287,0.13510669767856598,-0.4194919168949127,0.13694852590560913
conv4.net.4.running_mean,[128],128,-14.270532608032227,8.158601760864258,-37.903358459472656,30.18980598449707
conv4.net.4.running_var,[128],128,662.0921020507812,323.2988586425781,129.39744567871094,1742.0460205078125
conv4.net.4.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
up3.weight,"[128, 64, 2, 2]",32768,-0.003202375490218401,0.05097494646906853,-0.35382717847824097,0.31637144088745117
up3.bias,[64],64,0.023008238524198532,0.0880618542432785,-0.17680630087852478,0.17748884856700897
conv3.net.0.weight,"[64, 128, 3, 3]",73728,-0.007203085348010063,0.08207685500383377,-0.4646160900592804,0.4279022812843323
conv3.net.1.weight,[64],64,0.9415488243103027,0.11364465206861496,0.6837373971939087,1.1813772916793823
conv3.net.1.bias,[64],64,-0.1720472276210785,0.130492702126503,-0.47792112827301025,0.05636536702513695
conv3.net.1.running_mean,[64],64,-1.0809471607208252,4.040606498718262,-7.899738788604736,8.795414924621582
conv3.net.1.running_var,[64],64,59.94088363647461,24.315336227416992,19.99466323852539,113.23698425292969
conv3.net.1.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
conv3.net.3.weight,"[64, 64, 3, 3]",36864,-0.02087239734828472,0.08851048350334167,-0.4533775746822357,0.5536076426506042
conv3.net.4.weight,[64],64,0.8730524182319641,0.0985432118177414,0.5927308797836304,1.08053457736969
conv3.net.4.bias,[64],64,-0.20416192710399628,0.10881512612104416,-0.47743675112724304,-0.011512539349496365
conv3.net.4.running_mean,[64],64,-3.240074872970581,3.1582343578338623,-7.559544563293457,9.04997444152832
conv3.net.4.running_var,[64],64,31.478853225708008,17.382360458374023,9.918619155883789,79.13424682617188
conv3.net.4.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
up2.weight,"[64, 32, 2, 2]",8192,-0.0010562187526375055,0.08021332323551178,-0.3232572674751282,0.3327427804470062
up2.bias,[32],32,0.0005495082587003708,0.21141520142555237,-0.41196930408477783,0.4045139253139496
conv2.net.0.weight,"[32, 64, 3, 3]",18432,-0.006434356793761253,0.09023021906614304,-0.453330934047699,0.3888166546821594
conv2.net.1.weight,[32],32,1.0021148920059204,0.09802406281232834,0.8404964804649353,1.265758752822876
conv2.net.1.bias,[32],32,-0.20047816634178162,0.16527168452739716,-0.5222679376602173,0.10616257041692734
conv2.net.1.running_mean,[32],32,-0.7970482707023621,2.386239767074585,-5.796539306640625,3.699039936065674
conv2.net.1.running_var,[32],32,11.488378524780273,6.317967414855957,4.425780296325684,24.149288177490234
conv2.net.1.num_batches_tracked,[],1,7486.0,0.0,7486.0,7486.0
conv2.net.3.weight,"[32, 32, 3, 3]",9216,-0.011359382420778275,0.09783748537302017,-0.4185093641281128,0.409790575504303
