group_type,group,group_label,n,mean_dice,mean_iou,mean_precision,mean_recall,mean_area_ratio
tumor,glioma,glioma,254,0.6618875212522604,0.5618830830293978,0.7057059500014276,0.718826716498865,0.01941278412586122
tumor,meningioma,meningioma,306,0.909939906703526,0.8551866612098732,0.9311180565698771,0.9077612550400704,0.028689914279513888
tumor,pituitary,pituitary,300,0.8244452746641859,0.7340111194747537,0.8093519295375206,0.8855120409099275,0.008914591471354167
view,axial,axial,346,0.8015487049669321,0.7251578300489524,0.8037999587134909,0.8531112550594502,0.020878257089956647
view,coronal,coronal,257,0.8040931214669461,0.7192766543304245,0.8393347467670912,0.8219552309792567,0.018634246944917315
view,sagittal,sagittal,257,0.8167581327355848,0.7348250891138434,0.829389882638097,0.8544418431661976,0.017009571832441634
size,small,small < 1%,346,0.7542401534515707,0.6637733809897332,0.7331096911300313,0.8531298231654999,0.005746830405527457
size,medium,medium 1%-5%,454,0.8422598740863534,0.7667103122308594,0.8720581307343708,0.8433918035168159,0.022235214972811123
size,large,large > 5%,60,0.8423591386526823,0.7809447614476085,0.9567778497934342,0.7987957449009021,0.071685791015625
