name,tumor,view,area_ratio,size_group,size_label,dice,iou,precision,recall
brisc2025_test_00001_gl_ax_t1,glioma,axial,0.00439453125,small,small < 1%,1.0266940769776411e-10,1.0266940769776411e-10,1.1086474793753354e-10,1.3888888927837684e-09
brisc2025_test_00002_gl_ax_t1,glioma,axial,0.00848388671875,small,small < 1%,3.6630037891782763e-10,3.6630037891782763e-10,7.462686579806643e-10,7.194244644459502e-10
brisc2025_test_00003_gl_ax_t1,glioma,axial,0.0220947265625,medium,medium 1%-5%,0.6205059885978699,0.44980695843696594,0.5989717245101929,0.6436464190483093
brisc2025_test_00004_gl_ax_t1,glioma,axial,0.01519775390625,medium,medium 1%-5%,0.2821158766746521,0.16422288119792938,0.37837839126586914,0.22489960491657257
brisc2025_test_00005_gl_ax_t1,glioma,axial,0.004638671875,small,small < 1%,1.6447368467176204e-10,1.6447368467176204e-10,1.8796993128677997e-10,1.3157894773740964e-09
brisc2025_test_00006_gl_ax_t1,glioma,axial,0.01934814453125,medium,medium 1%-5%,0.881118893623352,0.7875000238418579,0.7914572954177856,0.9936908483505249
brisc2025_test_00007_gl_ax_t1,glioma,axial,0.00299072265625,small,small < 1%,5.847953232773762e-10,5.847953232773762e-10,8.196721634767812e-10,2.0408164047580613e-09
brisc2025_test_00008_gl_ax_t1,glioma,axial,0.0074462890625,small,small < 1%,0.6818181872367859,0.517241358757019,0.52173912525177,0.9836065769195557
brisc2025_test_00009_gl_ax_t1,glioma,axial,0.03558349609375,medium,medium 1%-5%,0.5367498397827148,0.3668202757835388,0.4422222077846527,0.682675838470459
brisc2025_test_00010_gl_ax_t1,glioma,axial,0.00323486328125,small,small < 1%,2.8901733784003625e-10,2.8901733784003625e-10,3.41296935157942e-10,1.886792500016554e-09
brisc2025_test_00011_gl_ax_t1,glioma,axial,0.00115966796875,small,small < 1%,3.7878788994305523e-10,3.7878788994305523e-10,4.0816328095161225e-10,5.263157909496385e-09
brisc2025_test_00012_gl_ax_t1,glioma,axial,0.00701904296875,small,small < 1%,0.010869565419852734,0.005464480724185705,0.007905138656497002,0.017391303554177284
brisc2025_test_00013_gl_ax_t1,glioma,axial,0.01556396484375,medium,medium 1%-5%,0.9704142212867737,0.9425287246704102,0.976190447807312,0.9647058844566345
brisc2025_test_00014_gl_ax_t1,glioma,axial,0.03680419921875,medium,medium 1%-5%,0.8848979473114014,0.7935578227043152,0.8713826537132263,0.8988391160964966
brisc2025_test_00015_gl_ax_t1,glioma,axial,0.01214599609375,medium,medium 1%-5%,0.3841463327407837,0.23773585259914398,0.2407643347978592,0.9497487545013428
brisc2025_test_00016_gl_ax_t1,glioma,axial,0.01123046875,medium,medium 1%-5%,0.027363184839487076,0.013871374540030956,0.017741935327649117,0.05978260934352875
brisc2025_test_00017_gl_ax_t1,glioma,axial,0.00537109375,small,small < 1%,0.782608687877655,0.6428571343421936,0.8630136847496033,0.7159090638160706
brisc2025_test_00018_gl_ax_t1,glioma,axial,0.0308837890625,medium,medium 1%-5%,0.6614583134651184,0.4941634237766266,0.9694656729698181,0.5019763112068176
