,A1,A2,A3,A4
small < 1%,0.6649460774940058,0.650123085586071,0.6637838386332724,0.6518654207499371
medium 1%-5%,0.7334139509445102,0.7423348532920984,0.7667214539669363,0.7484024092735413
large > 5%,0.7491878715033332,0.7798863191170263,0.7809195122371118,0.732099429736257
