,A1,A2,A3,A4
glioma,0.5446139750000427,0.5317352873195069,0.5618727994095284,0.5376083968997388
meningioma,0.8374458783332603,0.8313435997868895,0.8551877607426964,0.8504706067970338
pituitary,0.7113405347064837,0.7310129521349062,0.734042577216809,0.7081651889380515
