,A1,A2,A3,A4
small < 1%,0.7661525210620034,0.7265431556563351,0.7548870304711646,0.749526342505061
medium 1%-5%,0.8095278261885882,0.8240921342215626,0.8377460761948069,0.8247617273053889
large > 5%,0.79185149371624,0.7521918510886454,0.7598601161417636,0.711249237459583
