,A1,A2,A3,A4
glioma,0.6345387991321427,0.6149642669801827,0.6439491880067666,0.6277341396278656
meningioma,0.8946726357081853,0.8924481952907865,0.911364014248504,0.8996374366694949
pituitary,0.8245754754016485,0.8212966066740828,0.8331233603263214,0.8267930161658494
