,A1,A2,A3,A4
axial,0.7907497425550928,0.7878049374005832,0.8015558699275838,0.7959387817645874
coronal,0.7954989008786273,0.7941298838494275,0.8041014916289303,0.7986555353616648
sagittal,0.7912353882192568,0.7990668332105938,0.81676314764311,0.7786352784960209
