epoch,train_loss,train_dice,train_iou,eval_loss,eval_dice,eval_iou
1,0.8533168435096741,0.06784901022911072,0.035831063985824585,0.8395235538482666,0.05722905322909355,0.02986907958984375
2,0.8353015184402466,0.08920588344335556,0.047773152589797974,0.8393430709838867,0.05722905322909355,0.02986907958984375
3,0.8225874900817871,0.11688371747732162,0.06381578743457794,0.8392431735992432,0.05722905322909355,0.02986907958984375
4,0.8120676875114441,0.12593509256839752,0.06920206546783447,0.8392236232757568,0.05722905322909355,0.02986907958984375
5,0.8037292957305908,0.12978005409240723,0.07146912068128586,0.8392927646636963,0.05722905322909355,0.02986907958984375
6,0.7957921028137207,0.13131695985794067,0.07235800474882126,0.8395308256149292,0.05722905322909355,0.02986907958984375
7,0.7881258726119995,0.13199898600578308,0.07273418456315994,0.8400331735610962,0.05722905322909355,0.02986907958984375
8,0.7800483703613281,0.13252633810043335,0.07303847372531891,0.8409425020217896,0.05722905322909355,0.02986907958984375
9,0.7742922306060791,0.13278226554393768,0.07319014519453049,0.8423699140548706,0.05722905322909355,0.02986907958984375
10,0.766823410987854,0.13393621146678925,0.07397044450044632,0.8442627787590027,0.05722905322909355,0.02986907958984375
11,0.760706901550293,0.1363435983657837,0.07550201565027237,0.8464924097061157,0.05722905322909355,0.02986907958984375
12,0.751439094543457,0.14233160018920898,0.07932820171117783,0.8492887020111084,0.05722905322909355,0.02986907958984375
13,0.7410813570022583,0.15344923734664917,0.08633467555046082,0.8526467084884644,0.05722905322909355,0.02986907958984375
14,0.7317071557044983,0.17843443155288696,0.10212342441082001,0.8550559878349304,0.05722905322909355,0.02986907958984375
15,0.7249330878257751,0.20413394272327423,0.11942151188850403,0.8570613861083984,0.05722905322909355,0.02986907958984375
16,0.7152438163757324,0.2532072067260742,0.1511067897081375,0.857993483543396,0.05722905322909355,0.02986907958984375
17,0.7091507911682129,0.30740299820899963,0.18983817100524902,0.8582113981246948,0.0572298988699913,0.029869556427001953
18,0.7037250995635986,0.3668936491012573,0.23770509660243988,0.8561954498291016,0.0572298988699913,0.029869556427001953
19,0.6979690194129944,0.42937198281288147,0.28764593601226807,0.8516460061073303,0.05723327770829201,0.029871461912989616
20,0.6931099891662598,0.47944125533103943,0.32797402143478394,0.8436302542686462,0.05731518566608429,0.029917661100625992
21,0.688042402267456,0.4869014322757721,0.34010010957717896,0.848299503326416,0.05348781496286392,0.027925267815589905
22,0.6852169036865234,0.6052939891815186,0.4450600743293762,0.8295254111289978,0.03176764398813248,0.016551915556192398
23,0.6802440881729126,0.6097948551177979,0.45103007555007935,0.8123081922531128,0.009583938866853714,0.004870173521339893
24,0.6783814430236816,0.5769799947738647,0.4234657287597656,0.8024002313613892,0.004557015839964151,0.002320811850950122
25,0.6747827529907227,0.6290178298950195,0.4804796278476715,0.7937889099121094,9.476099072092126e-11,9.476099072092126e-11
26,0.6724977493286133,0.7126187086105347,0.5675258040428162,0.7820481061935425,1.511693548117421e-10,1.511693548117421e-10
27,0.6700081825256348,0.7403750419616699,0.5975688695907593,0.7723608016967773,2.2636284513488647e-10,2.2636284513488647e-10
28,0.6674282550811768,0.7308323383331299,0.5869159698486328,0.7650851011276245,2.5139484938208057e-10,2.5139484938208057e-10
29,0.665826678276062,0.7240101099014282,0.5816452503204346,0.7586026191711426,2.6837521094336125e-10,2.6837521094336125e-10
30,0.6630794405937195,0.7656846046447754,0.6319500207901001,0.7526845335960388,2.757613026815875e-10,2.757613026815875e-10
31,0.6612358093261719,0.8104556202888489,0.6885204315185547,0.7471287250518799,0.0009803924476727843,0.0004921262152493
32,0.6591891646385193,0.8273857831954956,0.7127158641815186,0.741602897644043,0.012464722618460655,0.006559405941516161
33,0.6571042537689209,0.8158794641494751,0.6997405290603638,0.7360248565673828,0.036228813230991364,0.021184340119361877
