epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.7241416534947865,0.3434470981137288,0.2612411190500379,0.533968016053691,0.45941946663394245,0.37474326811372455
2,0.4309811448385268,0.5302045513984516,0.435177924934075,0.6021598565458047,0.23267792920654862,0.19582465674340066
3,0.34474408501749715,0.6098343360847628,0.5204542831040276,0.32505291572423894,0.6279210341624537,0.5533214149149405
4,0.31128478995737086,0.6502340387571887,0.5616174795603389,0.2861279684937362,0.6783653307668488,0.5985943491363691
5,0.2877715310166935,0.6800621088386187,0.5945743716458984,0.28392814754536655,0.6836950365050755,0.6023877137398358
6,0.274775931034899,0.6969289676792125,0.6119650117485657,0.26885427346434254,0.7045429372275719,0.6199444617436389
7,0.2651394724202943,0.7107159546032775,0.6231524902703193,0.2484186293199809,0.7304194567612174,0.6515021296923585
8,0.2557627149493561,0.7214353154909793,0.6367628333078423,0.2302192911656216,0.7571515853356834,0.6739032653847126
9,0.2467626820455499,0.7325981130000904,0.647461317593071,0.24870281478371284,0.729077238928188,0.6420773476964295
10,0.2367418302119081,0.7455520268321643,0.6627772935680326,0.26324477099409005,0.7038751578692234,0.6223405643243982
11,0.22893901989998552,0.7560575303389941,0.6730455163923011,0.21694723407577987,0.7708828021781613,0.6875975592569872
12,0.23133179498127268,0.7537696845640386,0.6697357725824802,0.20961197450606509,0.778693620002631,0.7004181598172043
13,0.22005622440637065,0.7686854861865794,0.685242457362601,0.22711599776239105,0.7552328079637854,0.6772064030772508
14,0.21594490969392854,0.7728708189756132,0.6895020541352064,0.21043164068550774,0.7769000596470303,0.6971479199751459
15,0.2172049836345433,0.7722908140249967,0.6902692407407434,0.2461558910782891,0.7273936389070569,0.6537766732802295
16,0.2063898941133228,0.7850660539520573,0.7030903700039471,0.21962409082687262,0.7660438978310787,0.684560898729045
17,0.2064729350888487,0.7840671054451599,0.7015430678419655,0.2138249236676428,0.7728699942429861,0.6942045378564584
18,0.20702539514844792,0.7835976711384536,0.7020253405958263,0.2133234047678986,0.7729637845598086,0.6931803301729337
19,0.19826693312846463,0.7959691851877319,0.7139276153393809,0.20912303184770575,0.7793149728365619,0.6988580151639804
20,0.20093060369948446,0.7920023676405098,0.7098200956576972,0.2242138788781383,0.7593983170962093,0.6806675529841221
