epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.7043112202495487,0.43458763876844786,0.3320935942412255,0.4654693398812805,0.5968257134403357,0.5004925198182107
2,0.3747837431350638,0.5980816193416639,0.5016234584795642,0.3184612215769411,0.6383301776080768,0.5470256123267988
3,0.30873783206954825,0.6397097922369913,0.5491802483645792,0.2797778467036257,0.6823929057578848,0.5891896708294598
4,0.26812949090212734,0.6882722208342577,0.6002430474092513,0.270051395050203,0.6882738144221631,0.6086138340084805
5,0.2515086132257723,0.7083930146270597,0.6212490104176671,0.2516581103431456,0.709321826474515,0.6334011557767296
6,0.24738510550581258,0.7119646772817911,0.6279168208389718,0.28306954045488375,0.6693982850765128,0.5854546110178875
7,0.23994746286100543,0.7228757395659606,0.6373503605272565,0.2514323144398554,0.7176069278208859,0.6353234182325935
8,0.24227930887172064,0.7205575121387007,0.6340977202363426,0.24554466915251028,0.7250194484838332,0.6389915925083738
9,0.22371399444220635,0.7448332471593382,0.6605901839920711,0.2429050291427458,0.7198393002453477,0.6435384039174427
10,0.22028882988742765,0.7483932769238041,0.6632722155167367,0.21370906638677675,0.7610078631627439,0.6796146349774467
11,0.2117210982868514,0.7607620526388817,0.6738156381294812,0.2163304230480483,0.7555642352260724,0.6731817947531288
12,0.21413897271008056,0.7582437822661424,0.6738685262082192,0.2151520772263257,0.762408746312363,0.6764981805375128
13,0.21582824394560707,0.755437771227154,0.6689876005583003,0.21460490139445873,0.7617615912899827,0.679563447983578
14,0.21084263903764905,0.7608765841740642,0.6741186288861454,0.20493898856820483,0.7704365881103458,0.6927310086862005
15,0.19853630393440955,0.7772556848937485,0.692225500109232,0.2074944575627645,0.7670401175214787,0.686433156481897
16,0.19927211860336627,0.7767669791497555,0.6928911507129669,0.20030494372953067,0.778230713473426,0.6945729818609025
17,0.1970993448805234,0.7781291781797022,0.693739742191915,0.20213965010462384,0.7757375755093314,0.693147284063426
18,0.18699148424007567,0.7928253670936913,0.7100361456271961,0.19715474719049955,0.7808333879167383,0.7011798576574133
19,0.18653880373626797,0.7924647544543755,0.7097823355857491,0.20003122986868174,0.7801496926883255,0.6988471731393024
20,0.18957007992161712,0.7873984520054106,0.701639450141016,0.19711457192897797,0.7798915463264542,0.6981106852040146
