epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.7273985193616848,0.4416348869973784,0.3413390784529109,0.5525965717705813,0.5257544776534513,0.4214005894109176
2,0.42487524117007475,0.5751995766147744,0.4788973748608289,0.3371283781498369,0.617800283825177,0.5341798134028805
3,0.3201229978863358,0.6351471492632996,0.5454164600463083,0.31610618787582473,0.6329827684288224,0.5411101670822862
4,0.28604741564710734,0.6694074028790905,0.5823973826874936,0.27468426585799516,0.68575331847174,0.5983420175246217
5,0.26753157225962215,0.6926170291785662,0.6062481483529667,0.28422454270449554,0.6757312027944459,0.5892199616540562
6,0.2560236702677865,0.7079408080293442,0.6219905707134208,0.25463740305617605,0.7144317295816209,0.6255497632153106
7,0.23938833241384042,0.7287949441653218,0.6435164750605671,0.26371921312929403,0.6989759592094806,0.6109002666792485
8,0.23484080574158483,0.734315584078053,0.6494226242382515,0.23647881547609964,0.7284566024036119,0.6511905259556241
9,0.22983308932578503,0.7406602957980887,0.6556469469808685,0.2264991176850868,0.7434562149674001,0.6616471853822169
10,0.21646847553210816,0.7593105862739727,0.6720647731710812,0.23434933756638054,0.740795928721476,0.6501503892318167
11,0.21533367504852677,0.7601354923950234,0.6748467723125129,0.20752374079040806,0.7715563825284592,0.6871236261695323
12,0.20778261459796563,0.7685852531097868,0.6856803439444091,0.19818746832886128,0.7817149084023755,0.6989606006277932
13,0.2140363904500976,0.7605622776873826,0.6755282294175347,0.20503061592127336,0.7711516483263536,0.6864796398263989
14,0.19869644477547424,0.7810470597241735,0.6959736407710816,0.19064238712643133,0.7901738830889115,0.7086833369250249
15,0.20048032665086277,0.7772854612714748,0.6936855145971182,0.20946159386875654,0.7680322982446112,0.682127134968536
16,0.20392872449861565,0.7746869553315457,0.6893574498631627,0.20308823966317707,0.7740905441419043,0.6894763629845898
17,0.19280958156749076,0.7875460393840287,0.7053311262185198,0.2196869177724978,0.7594143119123247,0.6716730796327495
18,0.19071975096984564,0.7899186620252386,0.7064629934614685,0.18755226269966424,0.7934143308437231,0.7109650963484638
19,0.1904682665212354,0.7899084368030432,0.7066690141174394,0.1971808086441021,0.7825402864302048,0.6994351473721591
20,0.185563930967435,0.7965445195509092,0.7132781464890176,0.1893823378992201,0.7917717996269765,0.7071859671009911
