epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.8495962976047835,0.45537283220966607,0.3520926797081749,0.6091656019591322,0.4964922794535982,0.38661801138295404
2,0.4494241353521492,0.6124781474924935,0.5181498257112382,0.4133829259210163,0.635987252091067,0.544751095049309
3,0.3790511877328006,0.6602645506184113,0.571683425361735,0.3404369722261573,0.6963709327157097,0.6101797655826867
4,0.344739144469427,0.6922255653869077,0.6064456127167959,0.3177870232800041,0.7256689056603596,0.6417138616394515
5,0.3295512258023175,0.7087584087237488,0.6228653292365486,0.3596178985605336,0.6735743409154391,0.5965713985038527
6,0.3156704157212664,0.7206194968846849,0.6357595970485416,0.3294905699563749,0.7088741762469514,0.6294234826257734
7,0.3031540101743894,0.7337783445712879,0.6492275361936104,0.3417193651801408,0.6964255177387686,0.6121691703946903
8,0.2991085683898575,0.7371347493629166,0.6531394746551659,0.3370551846996702,0.7030362533519661,0.6126791642189925
9,0.2850431325055924,0.7523018415204159,0.6682412855818792,0.27456831397733306,0.7654159243660744,0.6807345028477486
10,0.28375026574216516,0.7526780609703306,0.668662304427418,0.29074483485233904,0.7443355752362145,0.6639449317948987
11,0.27761375622322715,0.7597210343719134,0.676271815401346,0.2823610615850699,0.7528560995453536,0.6712906974734683
12,0.26860343377451,0.7693824424658935,0.6855771985604678,0.2765903935739488,0.7604103005594678,0.6796599901986845
13,0.2667652136707669,0.7692878393049772,0.6863648752270616,0.2651746912737085,0.7708595723214776,0.6906046028992142
14,0.26377351461025667,0.7725434294206842,0.6890890911448425,0.24969678018430266,0.7851642267872588,0.7017981023198426
15,0.253907745184027,0.7829643142253614,0.6994416343832984,0.27121128194560906,0.7635217281905088,0.6825994882318709
16,0.2504097776780576,0.7858360910476162,0.7035259174060096,0.26127684831318226,0.774732948252649,0.6911496742807254
17,0.254138036219753,0.7816010215106954,0.6992163090838999,0.369305452313086,0.6597745144608045,0.5653816130426195
18,0.25976651920204236,0.7767852749770063,0.6932358793195734,0.25015963185014145,0.7865789234638214,0.7072047965996193
19,0.25272146527310313,0.7837319380135706,0.7010743295026914,0.25758294550457383,0.7765520320396231,0.6959865895485637
20,0.24550097708018298,0.7913155589763283,0.708721343333346,0.24301497337191996,0.7930282297158482,0.711475396999205
