epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.6190966572707075,0.4038224852156972,0.3093985358636051,0.43621688629641675,0.4847100655915159,0.3985140592123222
2,0.3153960344566004,0.6013061251056376,0.5050076017827552,0.27197997979443483,0.6291091998539747,0.5432520759648706
3,0.2562219007933503,0.6509470065233066,0.5617927001590656,0.28849251575843254,0.6085669372363591,0.5178070476091637
4,0.2353180171874574,0.6782086459059401,0.5907899200311167,0.2222224875456757,0.6949408034408333,0.6102186750733491
5,0.21841017563406587,0.7022402979395717,0.61555629567749,0.3282238178406701,0.5365279347193662,0.46503713791907736
6,0.20646815028438714,0.719092788656956,0.6316250595193224,0.2827692869486231,0.5991611510816247,0.5268372717228803
7,0.19896272771287388,0.7298390424342325,0.6431236191449432,0.17427768753935594,0.7649960426068065,0.6826523431021758
8,0.19390300551646858,0.7374991412241447,0.6509231692794616,0.22009795588074307,0.697845264968246,0.6078702673466518
9,0.18692723414884305,0.7476164879381354,0.6602120348417819,0.19204018626249197,0.7411274602918914,0.6524548828601837
10,0.1739797261803586,0.7662607094055505,0.6808316450433682,0.16747122769704972,0.7757619194912188,0.6904128627343611
11,0.17383651867471067,0.7664911300700328,0.6813533975161271,0.1919297609816898,0.7342912319934729,0.6546258380015691
12,0.17556335892395925,0.7651150997368817,0.6789050338988377,0.19975451549345796,0.7248949177487932,0.6433966778256376
13,0.16661015250318245,0.776665345061249,0.692237532607795,0.18791262779121448,0.7459708202366877,0.6584649614312432
14,0.16824249024999324,0.7750133586867811,0.6905943294467055,0.16290851953354749,0.7829079579825353,0.6976121167341868
15,0.15942153542628748,0.7878323577079677,0.7042777742528673,0.16407077872391904,0.7794939773251311,0.6989356198094108
16,0.15438594885624302,0.795451026882617,0.7111283556610195,0.15866020208958423,0.7874701893088794,0.7072213870106321
17,0.15664896738672923,0.7914639981416276,0.7073084649246961,0.1738120090555061,0.7711849862878973,0.6847888056678001
18,0.15462174268467777,0.7941920124939855,0.7099359654986919,0.15180225828380295,0.797596344141045,0.7156597448117805
19,0.14986883906581377,0.8007930249429597,0.7182093239223897,0.16279435240560108,0.7819795656685877,0.7019465850158171
20,0.15507380848722108,0.7933201584114036,0.7104305453258117,0.15661725104607718,0.7926929824882083,0.709048824779915
